RU1734	любовница (noun)
RU1460	ничтожество (noun)
RU43	фактор (noun)
RU139	а́рмия (noun)
RU1679	морали (noun)
RU908	сука (noun)
RU2932	жрать (verb)
RU3067	кур (noun)
RU1065	хер (noun)
RU2515	полицейский (noun)
RU1477	преступников (noun)
RU1313	экипаж (noun)
RU1470	Криминал (noun)
RU1377	сыно́к (noun)
RU2690	акула (noun)
RU396	лох (noun)
RU730	черт! (noun)
RU566	свинья (noun)
RU2290	учитель (noun)
RU1071	петух (noun)
RU1444	Глупость (noun)
RU2391	злость (noun)
RU1170	Квир (noun)
RU2150	домашний (noun)
RU1532	отвращение (noun)
RU1568	жопа (noun)
RU1846	гнев (noun)
RU1563	за (noun)
RU2061	Проститутки (noun)
RU3169	захват (noun)
RU157	животных (noun)
RU986	Бу (noun)
RU2125	Стадо (noun)
RU1898	вонючий (adjective)
RU1713	простой (noun)
RU112	остатки (noun)
RU1073	проблемой (noun)
RU748	наглость (noun)
RU797	толпа (noun)
RU783	Бомжи (noun)
RU948	Собаки (noun)
RU1118	капу́ста (noun)
RU1248	хлам (noun)
RU3281	Сюрприз (noun)
RU2033	воровство (noun)
RU1779	рыбой (noun)
RU1928	наблюдатель (noun)
RU1196	пидора́с (noun)
RU675	скот (noun)
RU91	насиловали (noun)
RU2288	Учительница (noun)
RU2071	есть-не (noun)
RU3508	сила (noun)
RU3319	стра́шный (adjective)
RU292	яйцо (noun)
RU3204	жаба (noun)
RU1209	предатель (noun)
RU2758	вор (noun)
RU2156	клетку (noun)
RU2773	негров (noun)
RU3310	умный (adjective)
RU2062	проституток (noun)
RU1440	бомж (noun)
RU2443	туале́т (noun)
RU2044	Жулик (noun)
RU844	Заключённые (noun)
RU3432	Птицы (noun)
RU2600	Приход (noun)
RU176	существо (noun)
RU343	Медведи (noun)
RU47	ученых (noun)
RU1798	наркоман (noun)
RU1376	сынок (noun)
RU1189	гей (noun)
RU2224	Инвалид (noun)
RU2345	убийца (noun)
RU2128	наро́д (noun)
RU3373	терроризм (noun)
RU2294	писец (noun)
RU673	скуки (noun)
RU368	адвоката (noun)
RU1753	быстрая (noun)
RU1491	говно́ (noun)
RU3389	пытки (noun)
RU1773	рыбы (noun)
RU954	Псина (noun)
RU45	академия (noun)
RU2330	Лжец (noun)
RU2647	крыс (noun)
RU3186	обычный (adjective)
RU805	Злодей (noun)
RU409	шлюха (noun)
RU200	глупость (noun)
RU2243	очко́ (noun)
RU2902	клоун (noun)
RU291	яйца (noun)
RU3372	Террорист (noun)
RU3085	ребенка (noun)
RU2946	умереть (verb)
RU1415	мадам (noun)
RU352	адвокат (noun)
RU2670	скорпион (noun)
RU461	Чувак (noun)
RU2717	Овцы (noun)
RU3418	ведьма (noun)
RU342	Медведь (noun)
RU1862	фашизм (noun)
RU1749	фашист (noun)
RU1171	странный (noun)
RU1447	наивный (adjective)
RU3518	сотрудница (noun)
RU724	бизнесмен (noun)
RU2327	Обман (noun)
RU2235	инвалидов (noun)
RU1063	член (noun)
RU767	объем (noun)
RU1133	мно́жество (noun)
RU965	Щенок (noun)
RU3386	Пытки (noun)
RU889	тряпка (noun)
RU3369	теракт (noun)
RU416	проститутка (noun)
RU3510	Насилие (noun)
RU2939	обманывать (verb)
RU1906	под ключ (noun)
RU2520	мент (noun)
RU1222	болтать (verb)
RU454	обман (noun)
RU302	яйцо́ (noun)
RU3178	гря́зный (adjective)
RU557	король (noun)
RU1990	трахаться (verb)
RU1983	заниматься сексом (verb)
RU771	мерзавец (noun)
RU3065	Курицы (noun)
RU508	группа (noun)
RU1035	коза (noun)
RU2133	бездомный (noun)
RU158	Тварь (noun)
RU1129	множество (noun)
RU972	пидор (noun)
RU1652	любитель (noun)
RU2774	Негры (noun)
RU957	Пес (noun)
RU351	адвокатов (noun)
RU50	академик (noun)
RU294	тест (noun)
RU204	идиотка (noun)
RU3179	грязный (adjective)
RU2872	оранжевый (noun)
RU3542	цыган (noun)
RU60	идиоти́зм (noun)
RU1191	Геи (noun)
RU1979	тра́хаться (verb)
RU5	Лень (noun)
RU595	приду́рок (noun)
RU2134	бездомных (noun)
RU1008	Се (noun)
RU3218	воровать (verb)
RU2121	Еврей (noun)
RU2568	жирный (noun)
RU2537	мафии (noun)
RU3293	кривой (adjective)
RU993	Кин (noun)
RU1372	мальчишка (noun)
RU528	козёл (noun)
RU1158	кролик (noun)
RU3079	ребёнок (noun)
RU2731	пули (noun)
RU49	преподаватель (noun)
RU1423	обмана (noun)
RU6	апатия (noun)
RU768	объём (noun)
RU3063	Курица (noun)
RU1391	Огурцы (noun)
RU3290	глупо (adjective)
RU3288	дурацкий (adjective)
RU1480	Преступления (noun)
RU2800	белых (noun)
RU818	плохо (adjective)
RU2462	Монгол (noun)
RU3545	Цыгане (noun)
RU3219	украсть (verb)
RU1541	лицемерие (noun)
RU375	собачка (noun)
RU1319	инвалид (noun)
RU1033	Козел (noun)
RU2844	Убийства (noun)
RU3498	выёбываться (verb)
RU970	Суки (noun)
RU995	Сё (noun)
RU2073	гея (noun)
RU2496	мо́рда (noun)
RU2032	злодей (noun)
RU2289	Учитель (noun)
RU3433	птиц (noun)
RU1006	Го (noun)
RU379	барон (noun)
RU1102	профессор (noun)
RU2802	черный (noun)
RU1693	зло (noun)
RU693	шеф (noun)
RU2754	тыква (noun)
RU1147	ебать (noun)
RU3325	чушь (noun)
RU2338	несча́стный (adjective)
RU588	деби́л (noun)
RU521	бандитов (noun)
RU1864	фашизма (noun)
RU543	Чёрный (noun)
RU1445	Дурачок (noun)
RU360	защитник (noun)
RU2469	комар (noun)
RU1167	корреспондент (noun)
RU1455	дура́к (noun)
RU1997	спать (verb)
RU1079	простых людей (noun)
RU974	пидорас (noun)
RU2650	Крысы (noun)
RU766	масса (noun)
RU2264	бедность (noun)
RU218	придурок (noun)
RU590	хуйло́ (noun)
RU1577	булочки (noun)
RU1986	ебать (verb)
RU3120	фигня (noun)
RU2889	процент (noun)
RU1961	Реакция (noun)
RU2301	леди (noun)
RU905	чайник (noun)
RU1315	дрочить (noun)
RU587	долбоёб (noun)
RU524	бандиты (noun)
RU2434	туалета (noun)
RU327	мужик (noun)
RU2588	паразитов (noun)
RU831	кружок (noun)
RU2226	недостаток (noun)
RU2768	черная (noun)
RU441	жу́лик (noun)
RU2983	слухи (noun)
RU1131	ма́сса (noun)
RU7	лень (noun)
RU1796	Дурак (noun)
RU3245	Тараканы (noun)
RU203	дебил (noun)
RU2241	жо́па (noun)
RU1525	грязи (noun)
RU684	коров (noun)
RU403	глупый (noun)
RU3024	злой (adjective)
RU2524	полицейских (noun)
RU1595	лиса́ (noun)
RU3383	пытать (noun)
RU1393	огурцы (noun)
RU58	Академик (noun)
RU184	изнасилование (noun)
RU2718	глупости (noun)
RU1003	То (noun)
RU841	Заключенные (noun)
RU1029	Козёл (noun)
RU1041	коза́ (noun)
RU2328	Враньё (noun)
RU455	непра́вда (noun)
RU1114	капуста (noun)
RU1715	родственники (noun)
RU1993	выебать (verb)
RU2619	Зло (noun)
RU1701	ро́жа (noun)
RU2846	убийц (noun)
RU2672	канализации (noun)
RU349	министра (noun)
RU1791	стадо (noun)
RU2497	морда (noun)
RU585	ебла́н (noun)
RU242	задницу (noun)
RU3226	воровать (noun)
RU3080	малыш (noun)
RU1493	дерьмо́ (noun)
RU3423	птица (noun)
RU967	собака (noun)
RU1381	пизда (noun)
RU3385	пытка (noun)
RU194	башка (noun)
RU1236	мусор (noun)
RU1183	геев (noun)
RU1580	попа (noun)
RU407	дурачок (noun)
RU2118	евреев (noun)
RU23	помощников (noun)
RU774	дрянь (noun)
RU1528	подлость (noun)
RU2441	туалет (noun)
RU503	банды (noun)
RU2042	воров (noun)
RU2850	убийство (noun)
RU424	слабый (noun)
RU692	начальник (noun)
RU1005	род (noun)
RU2182	мила́шка (noun)
RU2864	уби́йца (noun)
RU1142	чертов (noun)
RU3059	курица (noun)
RU1474	преступления (noun)
RU2068	Проститутка (noun)
RU1553	сзади (noun)
RU490	производитель (noun)
RU1062	хуй (noun)
RU1643	педагог (noun)
RU2645	щенок (noun)
RU1675	Мораль (noun)
RU1165	журналист (noun)
RU1933	детектив (noun)
RU1303	сова (noun)
RU432	шлю́ха (noun)
RU2855	убийств (noun)
RU609	шантаж (noun)
RU718	предприниматель (noun)
RU72	идиотизм (noun)
RU3082	малышка (noun)
RU459	ложь (noun)
RU216	дурак (noun)
RU1861	Фашист (noun)
RU842	З к (noun)
RU555	царь (noun)
RU2303	Леди (noun)
RU2935	обмануть (verb)
RU2437	туалеты (noun)
RU507	отряд (noun)
RU2601	округ (noun)
RU513	жулик (noun)
RU523	престу́пник (noun)
RU476	хаос (noun)
RU2269	нищета (noun)
RU3274	бе́дный (adjective)
RU370	адвока́т (noun)
RU1411	дама (noun)
RU2649	крыса (noun)
RU1866	Фашисты (noun)
RU2467	монго́л (noun)
RU2904	оши́бка (noun)
RU2984	нищий (noun)
RU3109	пропаганда (noun)
RU3087	дитя (noun)
RU110	шутка (noun)
RU162	животное (noun)
RU2433	удобства (noun)
RU2180	девушка (noun)
RU2185	красо́тка (noun)
RU1656	преступлений (noun)
RU688	корова (noun)
RU1606	овен (noun)
RU510	банда (noun)
RU3509	насилия (noun)
RU457	неправда (noun)
RU1104	Проф. (noun)
RU465	чувак (noun)
RU3299	жалкий (adjective)
RU981	Кан (noun)
RU3236	крепкий (adjective)
RU1561	тьфу (noun)
RU70	Дебилы (noun)
RU822	низкий (adjective)
RU3273	бедный (adjective)
RU1130	куча (noun)
RU3030	ручной (noun)
RU1967	трахать (verb)
RU817	плохой (adjective)
RU589	ублюдок (noun)
RU529	козел (noun)
RU989	Тё (noun)
RU2954	картофель (noun)
RU217	дура (noun)
RU2063	джон (noun)
RU332	хам (noun)
RU959	Пёс (noun)
RU2386	зависть (noun)
RU2871	ты́ква (noun)
RU1193	лесбия́нка (noun)
RU798	быдло (noun)
RU3091	слепой (adjective)
RU620	тупик (noun)
RU3086	крошка (noun)
RU3240	таракан (noun)
RU2887	несчастный (noun)
RU907	Идиотизм (noun)
RU2027	хитрый (adjective)
RU3289	глупый (adjective)
RU3324	жестокий (adjective)
RU2360	насекомых (noun)
RU634	портить (noun)
RU711	крестьян (noun)
RU3426	bird (noun)
RU1093	каст (noun)
RU2906	клоуны (noun)
RU1531	неприятные (noun)
RU1243	мусора (noun)
RU2244	мудак (noun)
RU1615	тонн (noun)
RU3368	Террористы (noun)
RU945	сволочь (noun)
RU2335	грустный (adjective)
RU382	Барон (noun)
RU3302	политический (adjective)
RU361	сторонник (noun)
RU2641	гордость (noun)
RU2312	желание (noun)
RU2427	смесь (noun)
RU2129	массы (noun)
RU1594	лис (noun)
RU2833	террорист (noun)
RU3519	работник (noun)
RU2341	гру́стный (adjective)
RU1674	любителей (noun)
